section,total_km,surface_stats,highway_stats,num_steps,num_bridges,num_fords,with_sac,with_trail_visibility
Roddbåtar att korsa mellan Finnhamn till Ingmarsö,0.7823881016460779,{'unknown': 782.3881016460779},{'unknown': 782.3881016460779},0,0,0,0,0
Roddbåtar att korsa mellan Ingmarsö till Finnhamn,0.7823881016460779,{'unknown': 782.3881016460779},{'unknown': 782.3881016460779},0,0,0,0,0
SAT Arholma,21.262248085895838,"{'compacted': 1203.7805568433073, 'grass': 1520.9259620760638, 'gravel': 11556.520309760856, 'ground': 1064.1517768654248, 'sand': 143.94776212012619, 'unknown': 2516.97478530411, 'unpaved': 3255.9469329259514}","{'footway': 1533.0828126480533, 'path': 6502.633931940928, 'residential': 2303.3342757184755, 'service': 3837.0323703409467, 'steps': 6.591739868298439, 'tertiary': 3739.713853702382, 'track': 1725.027379958857, 'unclassified': 1614.8317217178978}",1,0,0,37,44
SAT Brottö,1.9572414019525655,"{'compacted': 1931.2246520856183, 'concrete': 26.01674986694716}","{'footway': 26.01674986694716, 'unclassified': 1931.2246520856183}",0,0,0,5,5
SAT Finnhamn,16.60555435692886,"{'bare_rock': 622.5589942424062, 'compacted': 712.1597161815438, 'fine_gravel': 1975.2831883999058, 'fine_gravel;bare_rock': 91.85221821255472, 'gravel': 1454.7660141260399, 'ground': 9507.405005684273, 'ground,rock': 928.9690668104374, 'ground;rock': 232.66298169479526, 'rock': 519.5362785160572, 'rock,ground': 374.80480877023876, 'unknown': 185.55608429061002}","{'path': 12722.568370588098, 'track': 3882.9859863407655}",0,1,0,49,43
SAT Fjärdlång,16.979886212596558,"{'compacted': 7971.332569476451, 'compacted;rock': 516.4657746526943, 'grass': 2183.695172927069, 'gravel': 413.3141690384145, 'ground': 3818.852906917458, 'ground,rock': 330.37731307067423, 'rock;compacted': 844.5984329017003, 'unknown': 856.9852073339373, 'unpaved': 23.945132812561162, 'wood': 20.319533465595864}","{'footway': 840.6663784934092, 'path': 13321.13953076378, 'track': 2818.0803033393677}",0,1,0,24,28
SAT Furusund,13.297849593957796,"{'asphalt': 1548.9924252427968, 'compacted': 7044.890572861694, 'dirt': 2364.3222071685386, 'grass': 513.9257491841162, 'gravel': 754.9769231966413, 'ground': 473.93842374355467, 'sand': 145.22349476723764, 'unknown': 363.6291408023652, 'unpaved': 87.95065699085093}","{'path': 7317.725176954316, 'residential': 4645.969032361842, 'secondary': 9.872214026563025, 'service': 460.73024784383637, 'steps': 119.03722923283577, 'tertiary': 284.90382966359317, 'track': 459.6118638748086}",2,1,0,36,43
SAT Grinda,16.207104824236346,"{'compacted': 10326.830435667953, 'compund': 885.1280344068269, 'dirt': 991.3110982793099, 'fine_gravel': 179.70662725707925, 'grass': 341.7352256809703, 'gravel': 1868.182927621603, 'ground': 1312.6741382344253, 'rock': 16.16353815949833, 'unknown': 235.6828844409187, 'wood': 49.68991448776179}","{'footway': 176.55001044879586, 'path': 11376.729989935367, 'steps': 12.854220512564297, 'track': 4640.970603339618}",1,1,0,56,58
SAT Ingmarsö,16.4929636747721,"{'compacted': 6902.854766425062, 'grass': 2741.393193031407, 'gravel': 922.1401093693675, 'ground': 3205.4009784103055, 'unknown': 782.3881016460779, 'wood': 1938.7865258898794}","{'path': 10360.982965584943, 'service': 585.1608448695681, 'track': 391.99486475733244, 'unclassified': 4372.436897914179, 'unknown': 782.3881016460779}",0,1,0,32,31
SAT Landsort,17.51465858194444,"{'cement': 42.2761949920885, 'compacted': 6284.487595806744, 'concrete': 113.74185286917543, 'grass': 338.1037713081705, 'gravel': 1570.108002077865, 'ground': 2877.668491707096, 'ground,rock': 1017.8043580332167, 'rock': 3856.1413189266455, 'stone': 38.51048379028828, 'unhewn_cobblestone': 31.939646021315326, 'unknown': 1110.5187276227423, 'unpaved': 215.888084078276, 'wood': 17.470054710813923}","{'footway': 165.13251910066884, 'path': 8984.476978749737, 'residential': 2756.2447203244337, 'steps': 63.21820648370698, 'track': 5545.586157285891}",4,0,0,42,37
